,Sentence,Output
311,"The Audi Q5 SUVs from 2020 have been found to have faulty airbag inflators, increasing the risk of injury in the event of a crash. Audi has initiated a recall campaign to replace the defective airbag inflators. Owners are urged to contact Audi immediately.","[{'Entity': 'Audi Q5', 'Label': 'Vehicle_model'}, {'Entity': 'airbag inflators', 'Label': 'Component'}, {'Entity': 'faulty', 'Label': 'Failure_issue'}, {'Entity': 'risk of injury', 'Label': 'Failure_issue'}, {'Entity': 'Audi', 'Label': 'Manufacturer'}, {'Entity': 'initiated a recall campaign to replace the defective airbag inflators', 'Label': 'Corrective_action'}, {'Entity': 'contact Audi immediately', 'Label': 'Recall_date'}]"
312,"The Chevrolet Silverado 1500 trucks have been identified with a faulty brake line, leading to a potential loss of braking efficiency. Chevrolet will be conducting a voluntary recall to address this issue. Owners can reach out to Chevrolet for assistance.","[{'Entity': 'Chevrolet Silverado 1500', 'Label': 'Vehicle_model'}, {'Entity': 'brake line', 'Label': 'Component'}, {'Entity': 'faulty', 'Label': 'Failure_issue'}, {'Entity': 'loss of braking efficiency', 'Label': 'Failure_issue'}, {'Entity': 'Chevrolet', 'Label': 'Manufacturer'}, {'Entity': 'conducting a voluntary recall to address this issue', 'Label': 'Corrective_action'}, {'Entity': 'reach out to Chevrolet for assistance', 'Label': 'Recall_date'}]"
313,"The BMW X3 series vehicles have been facing issues with the power steering system malfunctioning, leading to difficulties in steering control. BMW has announced a recall to fix the faulty power steering systems. Owners are advised to contact BMW for further details.","[{'Entity': 'BMW X3 series', 'Label': 'Vehicle_model'}, {'Entity': 'power steering system', 'Label': 'Component'}, {'Entity': 'malfunctioning', 'Label': 'Failure_issue'}, {'Entity': 'difficulties in steering control', 'Label': 'Failure_issue'}, {'Entity': 'BMW', 'Label': 'Manufacturer'}, {'Entity': 'announced a recall to fix the faulty power steering systems', 'Label': 'Corrective_action'}, {'Entity': 'contact BMW for further details', 'Label': 'Recall_date'}]"
314,"Certain models of trucks manufactured by Ford between 2010 and 2015 are experiencing consistent transmission issues resulting in gear slippage. The transmission failure poses a significant safety risk to drivers as it may lead to sudden loss of control. Ford dealerships will conduct a thorough inspection of the transmission system and replace any faulty components as needed. Owners of the affected vehicles will be notified starting from June 1, 2021. For more information, customers can contact Ford at 1-800-344-7856.","[{'Entity': 'Ford', 'Label': 'Manufacturer'}, {'Entity': 'trucks', 'Label': 'Vehicle_model'}, {'Entity': 'transmission issues', 'Label': 'Failure_issue'}, {'Entity': 'gear slippage', 'Label': 'Failure_issue'}, {'Entity': 'sudden loss of control', 'Label': 'Failure_issue'}, {'Entity': 'dealerships will conduct a thorough inspection of the transmission system and replace any faulty components as needed', 'Label': 'Corrective_action'}, {'Entity': 'June 1, 2021', 'Label': 'Recall_date'}]"
315,"The luxury sedan model 'Acura RLX' produced in 2018 is reported to have issues with the entertainment system display flickering randomly. This technical fault could distract the driver, increasing the risk of accidents on the road. Acura has announced a recall for all affected vehicles and will replace the malfunctioning entertainment system displays free of charge. Owners are advised to contact Acura customer service at 1-888-654-8920 for further assistance.","[{'Entity': 'Acura RLX', 'Label': 'Vehicle_model'}, {'Entity': 'entertainment system display', 'Label': 'Component'}, {'Entity': 'flickering randomly', 'Label': 'Failure_issue'}, {'Entity': 'risk of accidents on the road', 'Label': 'Failure_issue'}, {'Entity': 'recall for all affected vehicles and will replace the malfunctioning entertainment system displays free of charge', 'Label': 'Corrective_action'}]"
316,"The latest electric SUV launched by Tesla in 2022 is facing battery overheating problems leading to unexpected shutdowns while driving. This serious issue can endanger the safety of both the occupants and other road users. Tesla service centers are proactively reaching out to customers to replace the faulty batteries and enhance cooling mechanisms. The company aims to complete the recall process by August 31, 2022.","[{'Entity': 'Tesla', 'Label': 'Manufacturer'}, {'Entity': 'electric SUV', 'Label': 'Vehicle_model'}, {'Entity': 'battery overheating problems', 'Label': 'Failure_issue'}, {'Entity': 'unexpected shutdowns while driving', 'Label': 'Failure_issue'}, {'Entity': 'safety of both the occupants and other road users', 'Label': 'Failure_issue'}, {'Entity': 'service centers are proactively reaching out to customers to replace the faulty batteries and enhance cooling mechanisms', 'Label': 'Corrective_action'}, {'Entity': 'August 31, 2022', 'Label': 'Recall_date'}]"
317,Several compact car models produced by Honda in the year 2017 are facing issues related to faulty airbag inflators causing unexpected deployments. The malfunctioning airbags pose a serious safety risk to the driver and passengers in case of an accident. Honda has initiated a comprehensive recall program to replace the defective airbag inflators at authorized service centers. Affected vehicle owners should schedule an appointment by contacting Honda customer support.,"[{'Entity': 'Honda', 'Label': 'Manufacturer'}, {'Entity': 'compact car models', 'Label': 'Vehicle_model'}, {'Entity': 'faulty airbag inflators', 'Label': 'Failure_issue'}, {'Entity': 'unexpected deployments', 'Label': 'Failure_issue'}, {'Entity': 'safety risk to the driver and passengers in case of an accident', 'Label': 'Failure_issue'}, {'Entity': 'initiated a comprehensive recall program to replace the defective airbag inflators at authorized service centers', 'Label': 'Corrective_action'}]"
318,"The popular crossover SUV model 'Toyota RAV4' from 2019 is undergoing a power steering fluid leak issue resulting in difficulty steering the vehicle. The steering problem could lead to loss of control, especially during high-speed maneuvers, posing a safety hazard. Toyota dealerships are offering free inspections and repairs for affected vehicles by replacing the faulty power steering components. Owners can schedule an appointment by calling Toyota customer care at 1-800-331-4331.","[{'Entity': 'Toyota RAV4', 'Label': 'Vehicle_model'}, {'Entity': 'power steering fluid leak', 'Label': 'Failure_issue'}, {'Entity': 'difficulty steering the vehicle', 'Label': 'Failure_issue'}, {'Entity': 'loss of control, especially during high-speed maneuvers', 'Label': 'Failure_issue'}, {'Entity': 'dealerships are offering free inspections and repairs for affected vehicles by replacing the faulty power steering components', 'Label': 'Corrective_action'}]"
319,There is a safety recall for certain Ford Mustang vehicles due to potential brake issues that can lead to a partial loss of the brake system. This can result in rotor-carrier detachment and a potential crash. Ford dealers will replace the faulty rotor-carriers. Please contact Ford at 1-800-FORD-INFO for more information regarding this recall.,"[{'Entity': 'Ford Mustang vehicles', 'Label': 'Vehicle_model'}, {'Entity': 'brake issues', 'Label': 'Failure_issue'}, {'Entity': 'partial loss of the brake system', 'Label': 'Failure_issue'}, {'Entity': 'rotor-carrier detachment', 'Label': 'Failure_issue'}, {'Entity': 'crash', 'Label': 'Failure_issue'}, {'Entity': 'Ford dealers will replace the faulty rotor-carriers', 'Label': 'Corrective_action'}, {'Entity': '1-800-FORD-INFO', 'Label': 'Manufacturer'}, {'Entity': 'Contact Ford at 1-800-FORD-INFO', 'Label': 'Recall_date'}]"
320,"Toyota Camry vehicles manufactured in 2015 are being recalled due to potential fuel leakage issues and fire hazards. Owners may experience fuel odors and leakage. Toyota dealers will install a revised evaporative emission pipe assembly to address this issue. The recall notification will begin on July 10, 2021.","[{'Entity': 'Toyota Camry vehicles', 'Label': 'Vehicle_model'}, {'Entity': 'fuel leakage issues', 'Label': 'Failure_issue'}, {'Entity': 'fire hazards', 'Label': 'Failure_issue'}, {'Entity': 'fuel odors', 'Label': 'Failure_issue'}, {'Entity': 'fuel leakage', 'Label': 'Failure_issue'}, {'Entity': 'Toyota dealers will install a revised evaporative emission pipe assembly', 'Label': 'Corrective_action'}, {'Entity': 'Toyota', 'Label': 'Manufacturer'}, {'Entity': 'July 10, 2021', 'Label': 'Recall_date'}]"
321,"Honda Accord vehicles manufactured between 2018 and 2020 are under a safety recall due to potential engine failure issues. Owners may face engine stalling and misfire problems. Honda will replace the faulty engine components. The recall process will start on October 5, 2021.","[{'Entity': 'Honda Accord vehicles', 'Label': 'Vehicle_model'}, {'Entity': 'engine failure issues', 'Label': 'Failure_issue'}, {'Entity': 'engine stalling', 'Label': 'Failure_issue'}, {'Entity': 'misfire problems', 'Label': 'Failure_issue'}, {'Entity': 'Honda will replace the faulty engine components', 'Label': 'Corrective_action'}, {'Entity': 'Honda', 'Label': 'Manufacturer'}, {'Entity': 'October 5, 2021', 'Label': 'Recall_date'}]"
322,"Chevrolet Silverado trucks from the model year 2019 are being recalled due to faulty airbag deployment issues. Owners may face airbag non-deployment during crashes. Chevrolet dealers will replace the defective airbag inflators. The recall process is set to commence on August 15, 2021.","[{'Entity': 'Chevrolet Silverado trucks', 'Label': 'Vehicle_model'}, {'Entity': 'faulty airbag deployment issues', 'Label': 'Failure_issue'}, {'Entity': 'airbag non-deployment during crashes', 'Label': 'Failure_issue'}, {'Entity': 'Chevrolet dealers will replace the defective airbag inflators', 'Label': 'Corrective_action'}, {'Entity': 'Chevrolet', 'Label': 'Manufacturer'}, {'Entity': 'August 15, 2021', 'Label': 'Recall_date'}]"
323,"Tesla Model S electric vehicles manufactured in 2020 are facing a safety recall due to potential battery fire hazards. Owners may encounter battery overheating and fire risks. Tesla will provide free battery replacements to resolve this issue. The recall will officially begin on September 20, 2021.","[{'Entity': 'Tesla Model S electric vehicles', 'Label': 'Vehicle_model'}, {'Entity': 'battery fire hazards', 'Label': 'Failure_issue'}, {'Entity': 'battery overheating', 'Label': 'Failure_issue'}, {'Entity': 'fire risks', 'Label': 'Failure_issue'}, {'Entity': 'Tesla will provide free battery replacements', 'Label': 'Corrective_action'}, {'Entity': 'Tesla', 'Label': 'Manufacturer'}, {'Entity': 'September 20, 2021', 'Label': 'Recall_date'}]"
324,"ON CERTAIN SUVs EQUIPPED WITH OPTIONAL REAR AXLE, THE REAR AXLE CAN DEVELOP CRACKS AND LEAKAGE OVER TIME. THIS CAN LEAD TO A LOSS OF CONTROL AND POTENTIAL CRASH. DEALERS WILL REPLACE THE REAR AXLE ASSEMBLY. OWNER NOTIFICATION BEGAN JANUARY 10, 2022. OWNERS SHOULD CONTACT THE MANUFACTURER AT 1-800-MY-SUV.","[{'Entity': 'REAR AXLE', 'Label': 'Component'}, {'Entity': 'CRACKS AND LEAKAGE', 'Label': 'Failure_issue'}, {'Entity': 'LOSS OF CONTROL', 'Label': 'Failure_issue'}, {'Entity': 'POTENTIAL CRASH', 'Label': 'Failure_issue'}, {'Entity': 'DEALERS WILL REPLACE THE REAR AXLE ASSEMBLY', 'Label': 'Corrective_action'}, {'Entity': 'MANUFACTURER', 'Label': 'Manufacturer'}, {'Entity': 'JANUARY 10, 2022', 'Label': 'Recall_date'}]"
325,A BATCH OF LUXURY SEDANS MANUFACTURED IN 2021 ARE REPORTED TO HAVE FAULTY ENGINE MOUNTS. THESE FAULTY ENGINE MOUNTS CAN CAUSE ENGINE VIBRATIONS AND EVENTUAL ENGINE FAILURE. DEALERS WILL INSPECT AND REPLACE THE ENGINE MOUNTS. OWNERS WHO EXPERIENCE ISSUES SHOULD CONTACT THE MANUFACTURER FOR IMMEDIATE ASSISTANCE.,"[{'Entity': 'LUXURY SEDANS', 'Label': 'Component'}, {'Entity': 'FAULTY ENGINE MOUNTS', 'Label': 'Failure_issue'}, {'Entity': 'ENGINE VIBRATIONS', 'Label': 'Failure_issue'}, {'Entity': 'ENGINE FAILURE', 'Label': 'Failure_issue'}, {'Entity': 'DEALERS WILL INSPECT AND REPLACE THE ENGINE MOUNTS', 'Label': 'Corrective_action'}, {'Entity': 'MANUFACTURER', 'Label': 'Manufacturer'}]"
326,"A POPULAR PICKUP TRUCK MODEL FROM XYZ MANUFACTURER IS FACING ISSUES WITH FAULTY AIRBAG INFLATORS. THESE DEFECTIVE AIRBAG INFLATORS CAN DEPLOY UNEXPECTEDLY, INCREASING THE RISK OF INJURY. XYZ WILL REPLACE THE AIRBAG INFLATORS FREE OF CHARGE. OWNERS CAN CHECK THE MANUFACTURER'S WEBSITE FOR MORE DETAILS.","[{'Entity': 'PICKUP TRUCK MODEL', 'Label': 'Vehicle_model'}, {'Entity': 'FAULTY AIRBAG INFLATORS', 'Label': 'Failure_issue'}, {'Entity': 'UNEXPECTEDLY DEPLOYMENT', 'Label': 'Failure_issue'}, {'Entity': 'RISK OF INJURY', 'Label': 'Failure_issue'}, {'Entity': 'XYZ WILL REPLACE THE AIRBAG INFLATORS FREE OF CHARGE', 'Label': 'Corrective_action'}, {'Entity': 'MANUFACTURER', 'Label': 'Manufacturer'}]"
327,"IN RESPONSE TO CUSTOMER COMPLAINTS, A RECALL HAS BEEN ISSUED FOR CERTAIN SPORTS CARS DUE TO DEFECTIVE BRAKE PADS. THESE DEFECTIVE BRAKE PADS CAN CAUSE BRAKING ISSUES AND INCREASE STOPPING DISTANCE. THE MANUFACTURER WILL PROVIDE UPDATED BRAKE PADS. RECALL STARTED ON JULY 1, 2021.","[{'Entity': 'SPORTS CARS', 'Label': 'Component'}, {'Entity': 'DEFECTIVE BRAKE PADS', 'Label': 'Failure_issue'}, {'Entity': 'BRAKING ISSUES', 'Label': 'Failure_issue'}, {'Entity': 'INCREASE STOPPING DISTANCE', 'Label': 'Failure_issue'}, {'Entity': 'MANUFACTURER WILL PROVIDE UPDATED BRAKE PADS', 'Label': 'Corrective_action'}, {'Entity': 'JULY 1, 2021', 'Label': 'Recall_date'}]"
328,OWNERS OF RECENTLY RELEASED HYBRID SEDANS ARE ADVISED TO WATCH OUT FOR FAULTY BATTERY PACKS. THESE FAULTY BATTERY PACKS CAN OVERHEAT AND CAUSE FIRE RISK. THE MANUFACTURER IS OFFERING FREE REPLACEMENT OF THE BATTERY PACKS. CONTACT THE MANUFACTURER'S CUSTOMER SUPPORT FOR MORE INFORMATION.,"[{'Entity': 'HYBRID SEDANS', 'Label': 'Component'}, {'Entity': 'FAULTY BATTERY PACKS', 'Label': 'Failure_issue'}, {'Entity': 'OVERHEAT', 'Label': 'Failure_issue'}, {'Entity': 'FIRE RISK', 'Label': 'Failure_issue'}, {'Entity': 'FREE REPLACEMENT OF THE BATTERY PACKS', 'Label': 'Corrective_action'}, {'Entity': 'MANUFACTURER', 'Label': 'Manufacturer'}]"
329,"A certain model of luxury sedan developed by ABC Motors is experiencing issues with the transmission system, leading to unexpected stalling and loss of control. Owners are advised to contact their local dealers for a thorough inspection and potential replacement of faulty components. ABC Motors has initiated a recall for all affected vehicles manufactured between January to March 2021. Contact ABC Motors at 1-800-123-4567 for more information.","[{'Entity': 'luxury sedan', 'Label': 'Vehicle_model'}, {'Entity': 'transmission system', 'Label': 'Component'}, {'Entity': 'stalling', 'Label': 'Failure_issue'}, {'Entity': 'loss of control', 'Label': 'Failure_issue'}, {'Entity': 'contact their local dealers for a thorough inspection and potential replacement of faulty components', 'Label': 'Corrective_action'}, {'Entity': 'ABC Motors', 'Label': 'Manufacturer'}, {'Entity': 'recall for all affected vehicles manufactured between January to March 2021', 'Label': 'Recall_date'}]"
330,"Reports have surfaced regarding a popular SUV model from XYZ Motors that is showing signs of brake failure, resulting in the vehicle veering off course unexpectedly. Owners are urged to seek immediate assistance from authorized service centers for a comprehensive checkup and possible repair of the braking system. XYZ Motors has announced a recall for the SUVs produced in the year 2020. Reach out to XYZ Motors at 1-800-987-6543 for further guidance.","[{'Entity': 'popular SUV model', 'Label': 'Vehicle_model'}, {'Entity': 'brake failure', 'Label': 'Failure_issue'}, {'Entity': 'vehicle veering off course unexpectedly', 'Label': 'Failure_issue'}, {'Entity': 'seek immediate assistance from authorized service centers for a comprehensive checkup and possible repair of the braking system', 'Label': 'Corrective_action'}, {'Entity': 'XYZ Motors', 'Label': 'Manufacturer'}, {'Entity': 'recall for the SUVs produced in the year 2020', 'Label': 'Recall_date'}]"
331,"The latest model of electric car launched by MNO Automotive is facing issues with the battery pack, leading to sudden power loss and reduced driving range. Owners are advised to contact MNO Automotive authorized repair facilities for a complete diagnosis and potential replacement of the faulty components. MNO Automotive has issued a recall for all electric cars manufactured in 2022. Call MNO Automotive at 1-800-345-6789 for further details.","[{'Entity': 'electric car', 'Label': 'Vehicle_model'}, {'Entity': 'battery pack', 'Label': 'Component'}, {'Entity': 'sudden power loss', 'Label': 'Failure_issue'}, {'Entity': 'reduced driving range', 'Label': 'Failure_issue'}, {'Entity': 'contact MNO Automotive authorized repair facilities for a complete diagnosis and potential replacement of the faulty components', 'Label': 'Corrective_action'}, {'Entity': 'MNO Automotive', 'Label': 'Manufacturer'}, {'Entity': 'recall for all electric cars manufactured in 2022', 'Label': 'Recall_date'}]"
332,"Several complaints have been lodged regarding the minivan model produced by PQR Motors, citing issues with the airbag system deployment malfunction, posing risks of injury in case of an accident. Owners are advised to visit PQR Motors service centers for an in-depth examination and potential repair of the airbag mechanism. PQR Motors has declared a recall for the minivans assembled between 2019-2020. For more information, contact PQR Motors at 1-800-567-8901.","[{'Entity': 'minivan model', 'Label': 'Vehicle_model'}, {'Entity': 'airbag system deployment malfunction', 'Label': 'Failure_issue'}, {'Entity': 'risks of injury in case of an accident', 'Label': 'Failure_issue'}, {'Entity': 'visit PQR Motors service centers for an in-depth examination and potential repair of the airbag mechanism', 'Label': 'Corrective_action'}, {'Entity': 'PQR Motors', 'Label': 'Manufacturer'}, {'Entity': 'recall for the minivans assembled between 2019-2020', 'Label': 'Recall_date'}]"
333,"Owners of the classic sports car model from RST Motors have reported instances of engine overheating, resulting in sudden breakdowns and potential fire hazards. It is recommended that owners reach out to RST Motors authorized garages for a detailed inspection and possible replacement of faulty engine parts. RST Motors has officially recalled all sports cars manufactured in 2018. Reach RST Motors at 1-800-901-2345 for any queries regarding this issue.","[{'Entity': 'classic sports car model', 'Label': 'Vehicle_model'}, {'Entity': 'engine overheating', 'Label': 'Failure_issue'}, {'Entity': 'sudden breakdowns', 'Label': 'Failure_issue'}, {'Entity': 'potential fire hazards', 'Label': 'Failure_issue'}, {'Entity': 'reach out to RST Motors authorized garages for a detailed inspection and possible replacement of faulty engine parts', 'Label': 'Corrective_action'}, {'Entity': 'RST Motors', 'Label': 'Manufacturer'}, {'Entity': 'recall all sports cars manufactured in 2018', 'Label': 'Recall_date'}]"
334,"The Toyota Camry 2020 models are being recalled due to potential brake failure issues. Owners have reported a loss of braking power, leading to safety concerns. Toyota dealers will replace the brake master cylinder assembly to ensure proper function. Toyota has initiated the recall process and owners can contact Toyota at 1-800-TOYOTA for more information. Recall notification started on October 10, 2021.","[{'Entity': 'Toyota Camry 2020', 'Label': 'Vehicle_model'}, {'Entity': 'brake failure issues', 'Label': 'Failure_issue'}, {'Entity': 'loss of braking power', 'Label': 'Failure_issue'}, {'Entity': 'brake master cylinder assembly', 'Label': 'Component'}, {'Entity': 'Toyota', 'Label': 'Manufacturer'}, {'Entity': 'replace the brake master cylinder assembly', 'Label': 'Corrective_action'}, {'Entity': 'October 10, 2021', 'Label': 'Recall_date'}]"
335,"The Ford F-150 trucks manufactured between 2018 and 2020 are facing a serious steering wheel issue. Owners have reported the steering wheel detaching while driving, posing a safety risk. Ford dealers will inspect and replace the faulty steering wheel assembly. Ford has announced a recall, and affected owners can contact Ford Customer Service at 1-800-FORD-TRUCK for assistance. Recall notifications were sent out starting on July 5, 2021.","[{'Entity': 'Ford F-150 trucks', 'Label': 'Vehicle_model'}, {'Entity': 'steering wheel issue', 'Label': 'Failure_issue'}, {'Entity': 'steering wheel detaching while driving', 'Label': 'Failure_issue'}, {'Entity': 'steering wheel assembly', 'Label': 'Component'}, {'Entity': 'Ford', 'Label': 'Manufacturer'}, {'Entity': 'inspect and replace the faulty steering wheel assembly', 'Label': 'Corrective_action'}, {'Entity': 'July 5, 2021', 'Label': 'Recall_date'}]"
336,"Certain BMW X5 SUVs from 2019 are being recalled for potential engine overheating issues. Owners have reported instances of engine overheating leading to smoke and fire risks. BMW service centers will replace the faulty cooling system components. BMW has issued a recall and affected owners can contact BMW Customer Care at 1-800-ASK-BMW for assistance. Recall notifications were sent starting on January 15, 2022.","[{'Entity': 'BMW X5 SUVs', 'Label': 'Vehicle_model'}, {'Entity': 'engine overheating issues', 'Label': 'Failure_issue'}, {'Entity': 'instances of engine overheating', 'Label': 'Failure_issue'}, {'Entity': 'cooling system components', 'Label': 'Component'}, {'Entity': 'BMW', 'Label': 'Manufacturer'}, {'Entity': 'replace the faulty cooling system components', 'Label': 'Corrective_action'}, {'Entity': 'January 15, 2022', 'Label': 'Recall_date'}]"
337,"The Chevrolet Silverado 1500 pickup trucks from 2017 are under a recall for potential airbag deployment issues. Numerous cases have been reported where the airbags deploy unexpectedly, posing a safety hazard. Chevrolet dealers will inspect and replace the faulty airbag control module. Chevrolet has announced a recall and affected owners can contact Chevrolet Customer Service at 1-800-CHEVY-TRUCK for further support. Recalls started on March 20, 2021.","[{'Entity': 'Chevrolet Silverado 1500 pickup trucks', 'Label': 'Vehicle_model'}, {'Entity': 'airbag deployment issues', 'Label': 'Failure_issue'}, {'Entity': 'airbags deploy unexpectedly', 'Label': 'Failure_issue'}, {'Entity': 'airbag control module', 'Label': 'Component'}, {'Entity': 'Chevrolet', 'Label': 'Manufacturer'}, {'Entity': 'inspect and replace the faulty airbag control module', 'Label': 'Corrective_action'}, {'Entity': 'March 20, 2021', 'Label': 'Recall_date'}]"
338,"Owners of the Honda Civic 2015 models have reported potential transmission failure issues, leading to safety concerns. The transmissions in these vehicles have shown signs of slipping and causing sudden loss of power. Honda dealerships will carry out inspections and replace the defective transmission parts. Honda has officially announced a recall, and affected owners can reach out to Honda Customer Support at 1-800-999-HONDA for assistance. Recall notifications were issued on November 5, 2020.","[{'Entity': 'Honda Civic 2015', 'Label': 'Vehicle_model'}, {'Entity': 'transmission failure issues', 'Label': 'Failure_issue'}, {'Entity': 'transmissions have shown signs of slipping', 'Label': 'Failure_issue'}, {'Entity': 'defective transmission parts', 'Label': 'Component'}, {'Entity': 'Honda', 'Label': 'Manufacturer'}, {'Entity': 'inspections and replace the defective transmission parts', 'Label': 'Corrective_action'}, {'Entity': 'November 5, 2020', 'Label': 'Recall_date'}]"
339,"Some luxury sedans are experiencing engine overheating issues leading to potential fires. Owners should contact the manufacturer for a replacement engine cooling system. Recall notification started on June 10, 2021.","[{'Entity': 'luxury sedans', 'Label': 'Vehicle_model'}, {'Entity': 'engine overheating issues', 'Label': 'Failure_issue'}, {'Entity': 'potential fires', 'Label': 'Failure_issue'}, {'Entity': 'manufacturer', 'Label': 'Manufacturer'}, {'Entity': 'replacement engine cooling system', 'Label': 'Corrective_action'}, {'Entity': 'June 10, 2021', 'Label': 'Recall_date'}]"
340,"Trucks built between 2018 and 2020 are experiencing brake failure due to faulty brake pads. Dealers will replace the brake pads free of charge to avoid any potential accidents. The recall process began on March 5, 2022.","[{'Entity': 'Trucks', 'Label': 'Vehicle_model'}, {'Entity': 'brake failure', 'Label': 'Failure_issue'}, {'Entity': 'faulty brake pads', 'Label': 'Component'}, {'Entity': 'dealers', 'Label': 'Manufacturer'}, {'Entity': 'replace the brake pads free of charge', 'Label': 'Corrective_action'}, {'Entity': 'March 5, 2022', 'Label': 'Recall_date'}]"
341,"The popular compact SUV model has been identified with faulty airbag deployment issues. The manufacturer is recalling affected vehicles and will replace the airbag system promptly. Recall notifications started on December 15, 2020.","[{'Entity': 'compact SUV model', 'Label': 'Vehicle_model'}, {'Entity': 'faulty airbag deployment issues', 'Label': 'Failure_issue'}, {'Entity': 'manufacturer', 'Label': 'Manufacturer'}, {'Entity': 'replace the airbag system promptly', 'Label': 'Corrective_action'}, {'Entity': 'December 15, 2020', 'Label': 'Recall_date'}]"
342,"Electric cars produced in 2019 are at risk of battery fires due to a manufacturing defect in the battery pack. The manufacturer is initiating a recall to replace the faulty battery packs. Recall process initiated on August 20, 2021.","[{'Entity': 'Electric cars', 'Label': 'Vehicle_model'}, {'Entity': 'battery fires', 'Label': 'Failure_issue'}, {'Entity': 'manufacturing defect in the battery pack', 'Label': 'Component'}, {'Entity': 'manufacturer', 'Label': 'Manufacturer'}, {'Entity': 'replace the faulty battery packs', 'Label': 'Corrective_action'}, {'Entity': 'August 20, 2021', 'Label': 'Recall_date'}]"
343,"The latest hybrid vehicle model may have issues with sudden loss of power steering control. Owners are advised to contact the manufacturer for a steering system upgrade. Recall notifications commenced on May 3, 2022.","[{'Entity': 'hybrid vehicle model', 'Label': 'Vehicle_model'}, {'Entity': 'sudden loss of power steering control', 'Label': 'Failure_issue'}, {'Entity': 'manufacturer', 'Label': 'Manufacturer'}, {'Entity': 'steering system upgrade', 'Label': 'Corrective_action'}, {'Entity': 'May 3, 2022', 'Label': 'Recall_date'}]"
344,Several sedan models manufactured by BMW are experiencing issues with the engine overheating leading to potential fires. The manufacturer has issued a recall for all affected vehicles. Owners are advised to contact BMW at 1-800-555-5555 for further instructions. Recall dates are yet to be announced.,"[{'Entity': 'sedan models', 'Label': 'Vehicle_model'}, {'Entity': 'engine overheating', 'Label': 'Failure_issue'}, {'Entity': 'potential fires', 'Label': 'Failure_issue'}, {'Entity': 'BMW', 'Label': 'Manufacturer'}, {'Entity': 'issued a recall for all affected vehicles', 'Label': 'Corrective_action'}]"
345,The compact SUV line produced by Ford is facing a safety concern related to faulty airbag deployment. This defect has the potential to cause serious injuries to the vehicle occupants. Ford is currently working on a corrective action plan to address this issue.,"[{'Entity': 'compact SUV line', 'Label': 'Vehicle_model'}, {'Entity': 'faulty airbag deployment', 'Label': 'Failure_issue'}, {'Entity': 'serious injuries', 'Label': 'Failure_issue'}, {'Entity': 'Ford', 'Label': 'Manufacturer'}, {'Entity': 'working on a corrective action plan', 'Label': 'Corrective_action'}]"
346,A well-known sports car brand has recently discovered a potential defect in the steering wheel mechanism of their latest models. This issue could result in loss of control while driving. The manufacturer is taking immediate steps to address this safety concern.,"[{'Entity': 'sports car brand', 'Label': 'Vehicle_model'}, {'Entity': 'steering wheel mechanism', 'Label': 'Component'}, {'Entity': 'loss of control while driving', 'Label': 'Failure_issue'}, {'Entity': 'manufacturer', 'Label': 'Manufacturer'}, {'Entity': 'taking immediate steps to address this safety concern', 'Label': 'Corrective_action'}]"
347,Owners of a popular truck model produced by Chevrolet have reported issues with the braking system malfunctioning unexpectedly. This has led to several accidents already. Chevrolet is working on a solution to rectify the problem.,"[{'Entity': 'popular truck model', 'Label': 'Vehicle_model'}, {'Entity': 'braking system malfunctioning unexpectedly', 'Label': 'Failure_issue'}, {'Entity': 'several accidents', 'Label': 'Failure_issue'}, {'Entity': 'Chevrolet', 'Label': 'Manufacturer'}, {'Entity': 'working on a solution to rectify the problem', 'Label': 'Corrective_action'}]"
348,The luxury sedan division of Mercedes-Benz has issued a recall for models affected by a potential fuel leakage issue. This defect poses a fire hazard to the vehicle and its occupants. Owners are advised to contact Mercedes-Benz at 1-800-123-4567 for further details.,"[{'Entity': 'luxury sedan division', 'Label': 'Vehicle_model'}, {'Entity': 'fuel leakage issue', 'Label': 'Failure_issue'}, {'Entity': 'fire hazard', 'Label': 'Failure_issue'}, {'Entity': 'Mercedes-Benz', 'Label': 'Manufacturer'}, {'Entity': 'issued a recall for models affected by a potential fuel leakage issue', 'Label': 'Corrective_action'}, {'Entity': 'contact Mercedes-Benz at 1-800-123-4567', 'Label': 'Recall_date'}]"
349,"The airbags in certain Honda Accord vehicles have been found to deploy unexpectedly, posing a safety risk to the occupants. Honda has issued a recall and will replace the faulty airbag system free of charge. Owners of affected vehicles can contact Honda at 1-800-555-1234 for more information. The recall started on June 30, 2021.","[{'Entity': 'airbags', 'Label': 'Component'}, {'Entity': 'deploy unexpectedly', 'Label': 'Failure_issue'}, {'Entity': 'Honda Accord', 'Label': 'Vehicle_model'}, {'Entity': 'replace the faulty airbag system free of charge', 'Label': 'Corrective_action'}, {'Entity': 'Honda', 'Label': 'Manufacturer'}, {'Entity': 'June 30, 2021', 'Label': 'Recall_date'}]"
